Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2013;Lead dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2014;Lead dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2018;Magnesium;mg/l;308500,00;348000,00;269000,00;55861,00;30,85
2019;Magnesium;mg/l;317500,00;326000,00;309000,00;12021,00;31,75
2020;Magnesium;mg/l;288333,00;305000,00;279000,00;14468,00;28,10
2018;Manganese dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2019;Manganese dissolved;µg/l;200000,00;200000,00;200000,00;;20,00
2020;Manganese dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2013;Manganese dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2014;Manganese dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2018;Mercury dissolved;µg/l;0,25;0.5000;0.5000;;0,50
2019;Mercury dissolved;µg/l;0,25;0.5000;0.5000;;0,50
2020;Mercury dissolved;µg/l;0,25;0.5000;0.5000;;0,50
2013;Mercury dissolved;μg/l;0,25;0.5000;0.5000;;0,50
2014;Mercury dissolved;μg/l;0,25;0.5000;0.5000;;0,50
2018;Nickel dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2019;Nickel dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2020;Nickel dissolved;µg/l;490000,00;490000,00;490000,00;;49,00
2013;Nickel dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2014;Nickel dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2018;Nitrate;mg/l;30100,00;36300,00;23900,00;0.8768;3,01
2019;Nitrate;mg/l;103000,00;104000,00;102000,00;0.1414;10,30
2020;Nitrate;mg/l;162667,00;175000,00;140000,00;19655,00;17,30
2013;Nitrate;mg/l;145000,00;151000,00;139000,00;0.8485;14,50
2014;Nitrate;mg/l;88000,00;151000,00;50000,00;71418,00;10,05
2015;Nitrate;mg/l;25000,00;50000,00;50000,00;;5,00
2018;Nitrite;mg/l;0,03;0.0200;0.0000;0.0141;0,01
2019;Nitrite;mg/l;0,03;0.0080;0.0000;0.0057;0,00
2020;Nitrite;mg/l;0,03;0.0000;0.0000;0.0000;0,00
2013;Nitrite;mg/l;0,03;0.0500;0.0500;0.0000;0,05
2014;Nitrite;mg/l;0,43;0.8400;0.0500;0.5586;0,44
2015;Nitrite;mg/l;0,03;0.0500;0.0500;;0,05
2018;pH;;76800,00;82000,00;71600,00;0.7354;
2019;pH;;81100,00;81100,00;81100,00;;
2020;pH;;80700,00;83800,00;76500,00;0.3772;
2013;pH;pH;75900,00;78000,00;73800,00;0.2970;7,59
2014;pH;pH;72700,00;73900,00;71500,00;0.1697;7,27
