Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;Benzene;µg/m³;1,54;7,10;0,20;1,19;1,20
2018;NO2;µg/m³;28,11;104,90;1,70;16,50;23,80
2018;O3;µg/m³;20,84;84,20;0,00;22,22;10,90
2018;PM10;µg/m³;26,19;185,20;0,00;22,44;23,90
2018;PM2.5;µg/m³;27,69;164,50;0,00;19,89;21,90
2019;Benzene;µg/m³;1,20;4,10;0,10;0,85;0,90
2019;NO2;µg/m³;24,48;109,50;0,50;18,20;19,50
2019;O3;µg/m³;42,27;89,70;0,00;26,01;42,50
2019;PM10;µg/m³;20,26;113,00;0,00;17,30;17,10
2019;PM2.5;µg/m³;21,59;89,20;0,00;16,77;18,10
