Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;Benzene;µg/m³;0,66;18,40;0,00;1,37;0,20
2018;NO2;µg/m³;12,67;95,30;0,00;12,10;8,10
2018;O3;µg/m³;68,87;176,00;0,50;40,56;66,90
2018;PM10;µg/m³;24,71;102,30;0,00;17,72;20,60
2018;PM2.5;µg/m³;12,72;42,80;0,00;6,37;12,40
2019;Benzene;µg/m³;0,29;2,40;0,00;0,22;0,30
2019;NO2;µg/m³;13,94;81,60;0,00;12,35;9,30
2019;O3;µg/m³;60,17;199,90;0,60;38,07;53,35
2019;PM10;µg/m³;20,68;68,20;0,00;10,63;20,00
2019;PM2.5;µg/m³;12,41;61,90;0,00;7,44;12,00
