Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;Benzene;µg/m³;1,07;4,10;0,10;0,62;1,00
2018;NO2;µg/m³;27,69;113,80;1,80;16,47;24,10
2018;O3;µg/m³;32,74;106,60;0,10;24,81;28,05
2018;PM10;µg/m³;19,68;129,20;0,00;21,21;13,10
2018;PM2.5;µg/m³;18,51;57,50;0,00;11,80;18,00
2019;Benzene;µg/m³;1,13;4,70;0,00;1,00;0,70
2019;NO2;µg/m³;24,89;124,70;1,40;20,51;18,80
2019;O3;µg/m³;52,49;117,00;0,90;32,36;60,90
2019;PM10;µg/m³;27,27;135,10;0,00;24,77;19,40
2019;PM2.5;µg/m³;23,00;102,50;0,00;20,77;15,50
