Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;Benzene;µg/m³;0,28;1,20;0,10;0,15;0,20
2018;NO2;µg/m³;12,48;90,20;0,00;10,95;9,10
2018;O3;µg/m³;50,51;212,30;0,10;39,50;42,20
2018;PM10;µg/m³;26,13;85,80;0,00;13,57;25,20
2018;PM2.5;µg/m³;13,52;40,80;0,00;5,65;13,80
2019;Benzene;µg/m³;0,40;2,30;0,10;0,21;0,40
2019;NO2;µg/m³;14,90;91,50;0,70;12,83;11,90
2019;O3;µg/m³;51,39;184,70;0,50;38,72;44,90
2019;PM10;µg/m³;23,58;70,60;0,00;13,01;22,00
2019;PM2.5;µg/m³;14,50;51,70;0,00;8,47;14,20
