Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;Benzene;µg/m³;0,17;0,80;0,00;0,09;0,20
2018;NO2;µg/m³;15,69;80,40;0,00;12,00;11,30
2018;O3;µg/m³;31,11;116,10;0,30;30,77;18,70
2018;PM10;µg/m³;14,38;77,80;0,00;12,80;11,60
2018;PM2.5;µg/m³;9,65;43,60;0,00;6,53;8,90
2019;Benzene;µg/m³;0,15;2,10;0,00;0,13;0,10
2019;NO2;µg/m³;13,45;72,40;1,50;10,43;10,00
2019;O3;µg/m³;57,89;283,10;1,40;31,47;58,70
2019;PM10;µg/m³;11,77;58,60;0,00;10,40;9,80
2019;PM2.5;µg/m³;8,30;46,70;0,00;6,88;7,10
