Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;Benzene;µg/m³;0,39;1,40;0,10;0,22;0,40
2018;NO2;µg/m³;13,75;89,50;0,00;11,94;10,30
2018;O3;µg/m³;51,57;157,70;0,10;37,58;46,90
2018;PM10;µg/m³;18,65;50,60;0,00;9,72;18,40
2018;PM2.5;µg/m³;12,70;46,90;0,00;6,09;12,50
2019;Benzene;µg/m³;0,48;5,00;0,10;0,36;0,40
2019;NO2;µg/m³;15,59;89,40;0,10;14,44;11,10
2019;O3;µg/m³;46,62;136,70;0,70;31,66;42,00
2019;PM10;µg/m³;15,88;61,30;0,00;8,60;14,90
2019;PM2.5;µg/m³;12,05;307,10;0,00;11,02;11,00
