Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;Benzene;µg/m³;0,68;3,30;0,10;0,49;0,60
2018;NO2;µg/m³;21,97;102,90;1,10;14,61;17,80
2018;O3;µg/m³;45,04;110,90;0,20;29,23;41,55
2018;PM10;µg/m³;19,23;100,80;0,00;15,52;15,50
2018;PM2.5;µg/m³;13,71;79,30;0,00;11,32;11,50
2019;Benzene;µg/m³;0,91;24,70;0,00;1,16;0,70
2019;NO2;µg/m³;21,42;116,50;1,50;16,61;15,90
2019;O3;µg/m³;58,37;132,40;0,80;34,14;63,50
2019;PM10;µg/m³;20,76;99,50;0,00;14,54;17,40
2019;PM2.5;µg/m³;16,96;78,30;0,00;11,65;15,50
