Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;NO2;µg/m³;26,82;93,60;1,80;17,29;22,50
2018;O3;µg/m³;38,81;80,00;7,00;21,96;42,60
2018;PM10;µg/m³;24,88;109,40;0,00;20,23;19,70
2018;PM2.5;µg/m³;22,43;92,00;0,00;17,42;19,15
